CD_CLIENTE;DS_PROD_moda;DS_LIN_REC_moda;CIDADE_moda;DS_CNAE_moda;DS_SEGMENTO_moda;DS_SUBSEGMENTO_moda;MARCA_TOTVS_moda;MODAL_COMERC_moda;PAIS_moda;PERIODICIDADE_moda;UF_moda;VL_TOTAL_CONTRATO_soma;faixa_vl_total_soma_contratos
TDCEX2;AHGORA ESTRATEGICO;SAAS SERIE T;GARANHUNS;Condominios prediais;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;PE;130.23970511552218;0.0-0.5M
TDCEX3;AHGORA ESTRATEGICO;SAAS SERIE T;SAOPAULO;Suporte tecnico, manutencao e outros servicos em tecnologia da informacao;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;284.11770021085687;0.0-0.5M
TDCEX8;AHGORA MULTI;SAAS SERIE T;SAOLUIS;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MODA;RH - CORE;NAO INFORMADO;105;00 - Mensal;MA;65.54654408060489;0.0-0.5M
TDCEXF;AHGORA GERENCIAL;SAAS SERIE T;AMERICANA;Atividades de contabilidade;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;330.17095767641797;0.0-0.5M
TDCEXM;AHGORA ESTRATEGICO;SAAS SERIE T;SAOPAULO;Holdings de instituicoes nao-financeiras;SERVICOS;OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;44.1573177926292;0.0-0.5M
TDCEYF;AHGORA ESTRATEGICO;SAAS SERIE T;SAOPAULO;Atividades de intermediacao e agenciamento de servicos e negocios em geral, exceto imobiliarios;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;104.27668201124935;0.0-0.5M
TDCEYP;PLANO ESSENCIAL SISTEMA VELTI;SAAS SERIE T;SAOPAULO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;VAREJO;VAREJO;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;35.6066719062804;0.0-0.5M
TDCEYS;PLANO ESSENCIAL SISTEMA VELTI;SAAS SERIE T;SAOJOSE;Servicos combinados de escritorio e apoio administrativo;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;57.6054575126045;0.0-0.5M
TDCEZ6;AHGORA MULTI;SAAS SERIE T;GOIANIA;Comercio varejista de medicamentos veterinarios;VAREJO;DROGARIA;RH - CORE;NAO INFORMADO;105;00 - Mensal;GO;125.52297714871614;0.0-0.5M
TDCEZA;AHGORA MULTI;SAAS SERIE T;ITARARE;Incorporacao de empreendimentos imobiliarios;CONSTRUCAO E PROJETOS;INCORPORADORAS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;138.75672014292724;0.0-0.5M
TDCEZH;AHGORA GERENCIAL;SAAS SERIE T;FLORIANOPOLIS;Clubes sociais, esportivos e similares;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;250.47843355276288;0.0-0.5M
TDCEZZ;AHGORA ESTRATEGICO;SAAS SERIE T;BLUMENAU;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MODA;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;71.46557525463592;0.0-0.5M
TDCF04;AHGORA MULTI;SAAS SERIE T;SAOJOSE;Aluguel de maquinas e equipamentos para construcao sem operador, exceto andaimes;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;123.03849744427555;0.0-0.5M
TDCF0G;AHGORA GERENCIAL;SAAS SERIE T;BALNEARIOCAMBORIU;Condominios prediais;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;189.22823170217197;0.0-0.5M
TDCF0T;AHGORA ESTRATEGICO;SAAS SERIE T;OUROVERDEDOOESTE;Restaurantes e similares;SERVICOS;VIAGENS;RH - CORE;NAO INFORMADO;105;00 - Mensal;PR;96.554196026381;0.0-0.5M
TDCF0V;AHGORA ESTRATEGICO;SAAS SERIE T;RIOBONITO;Servicos combinados para apoio a edificios, exceto condominios prediais;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;RJ;68.53128281182792;0.0-0.5M
TDCF0W;AHGORA ESTRATEGICO;SAAS SERIE T;CUIABA;Outras atividades de servicos prestados principalmente …s empresas nao especificadas anteriormente;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;MT;109.81736602216782;0.0-0.5M
TDCF18;AHGORA MULTI;SAAS SERIE T;SAOPAULO;Restaurantes e similares;SERVICOS;VIAGENS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;120.20930143566552;0.0-0.5M
TDCF1A;AHGORA GERENCIAL;SAAS SERIE T;VILAVELHA;Atividades de contabilidade;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;ES;136.81453803894863;0.0-0.5M
TDCF1I;AHGORA ESTRATEGICO;SAAS SERIE T;SAOPAULO;Atividades de cobrancas e informacoes cadastrais;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;86.86850865069395;0.0-0.5M
TDCF1L;PLAN PROF GOLD III SIST VELTI;SAAS SERIE T;FORTALEZA;Comercio atacadista de materiais de construcao em geral;VAREJO;MATERIAL DE CONSTRUCAO;RH - CORE;NAO INFORMADO;105;00 - Mensal;CE;46.2003924734382;0.0-0.5M
TDCF1U;AHGORA ESTRATEGICO;SAAS SERIE T;ITU;Transporte rodoviario coletivo de passageiros, sob regime de fretamento, municipal;SERVICOS;VIAGENS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;25.500598793801295;0.0-0.5M
TDCF1Y;AHGORA ESTRATEGICO;SAAS SERIE T;GARANHUNS;Aluguel de imoveis proprios;CONSTRUCAO E PROJETOS;INCORPORADORAS;RH - CORE;NAO INFORMADO;105;00 - Mensal;PE;86.43551134179819;0.0-0.5M
TDCF25;AHGORA ESTRATEGICO;SAAS SERIE T;SAOPAULO;Incorporacao de empreendimentos imobiliarios;CONSTRUCAO E PROJETOS;INCORPORADORAS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;120.20930143566552;0.0-0.5M
TDCF28;AHGORA MULTI;SAAS SERIE T;SAOLUIS;Comercio varejista de calcados;VAREJO;MODA;RH - CORE;NAO INFORMADO;105;00 - Mensal;MA;65.54654408060489;0.0-0.5M
TDCF2I;AHGORA GERENCIAL;SAAS SERIE T;SANTARITADOPASSAQUATRO;Servicos de engenharia;CONSTRUCAO E PROJETOS;ENGENHARIA & DESIGN;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;326.9802299341666;0.0-0.5M
TDCF2J;AHGORA FERIAS;SAAS SERIE T;SAOPAULO;Edicao de livros;MANUFATURA;PAPEL & CELULOSE;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;403.4652108860985;0.0-0.5M
TDCF2M;AHGORA AUTOMATICO;SAAS SERIE T;JOINVILLE;Aplicacao de revestimentos e de resinas em interiores e exteriores;CONSTRUCAO E PROJETOS;CONSTRUTORAS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;72.16341557771058;0.0-0.5M
TDCF2R;AHGORA ESTRATEGICO;SAAS SERIE T;PATOBRANCO;Instalacoes de sistema de prevencao contra incendio;CONSTRUCAO E PROJETOS;CONSTRUTORAS;RH - CORE;NAO INFORMADO;105;00 - Mensal;PR;102.26723818938403;0.0-0.5M
TDCF3B;AHGORA IOT;SAAS SERIE T;CRISTINA;Fabricacao de equipamentos e acessorios para seguranca pessoal e profissional;MANUFATURA;BENS DURAVEIS;RH - CORE;NAO INFORMADO;105;00 - Mensal;MG;169.36500563875177;0.0-0.5M
TDCF3D;AHGORA MULTI;SAAS SERIE T;FLORIANOPOLIS;Atividades de fonoaudiologia;SAUDE;CENTROS CLINICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;124.72424424881127;0.0-0.5M
TDCF3E;AHGORA MULTI;SAAS SERIE T;IPATINGA;Atividades de fisioterapia;SAUDE;CENTROS CLINICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;MG;120.20930143566552;0.0-0.5M
TDCF3G;AHGORA ESTRATEGICO;SAAS SERIE T;SAOPAULO;Ensino fundamental;EDUCACIONAL;BASICO;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;138.75672014292724;0.0-0.5M
TDCF3I;AHGORA MULTI;SAAS SERIE T;PARNAMIRIM;Manutencao e reparacao de geradores, transformadores e motores eletricos;MANUFATURA;BENS DE CAPITAL;RH - CORE;NAO INFORMADO;105;00 - Mensal;RN;108.20308479288674;0.0-0.5M
TDCF3J;AHGORA MULTI;SAAS SERIE T;BRASILIA;Preparacao de documentos e servicos especializados de apoio administrativo nao especificados anteriormente;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;DF;76.53122338297923;0.0-0.5M
TDCF3S;VELTI LICENÇAS REP P;SAAS SERIE T;SALVADOR;Incorporacao de empreendimentos imobiliarios;CONSTRUCAO E PROJETOS;INCORPORADORAS;RH - CORE;NAO INFORMADO;105;00 - Mensal;BA;140.3667975148408;0.0-0.5M
TDCF3V;AHGORA ESTRATEGICO;SAAS SERIE T;ITAJAI;Preparacao de documentos e servicos especializados de apoio administrativo nao especificados anteriormente;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;45.93554945925917;0.0-0.5M
TDCF41;AHGORA ESTRATEGICO;SAAS SERIE T;BRASILIA;Atividades veterinarias;SERVICOS;PROVEDOR DE SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;DF;76.7708432529507;0.0-0.5M
TDCF4A;AHGORA ESTRATEGICO;SAAS SERIE T;NITEROI;Servicos combinados para apoio a edificios, exceto condominios prediais;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;RJ;495.87440354771144;0.0-0.5M
TDCF4G;AHGORA ESTRATEGICO;SAAS SERIE T;GOIANIA;ATIVIDADES DE MONITORAMENTO DE SISTEMAS DE SEGURANCA ELETRONICO;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;GO;47.66753869484216;0.0-0.5M
TDCF4N;AHGORA MULTI;SAAS SERIE T;SAOPAULO;Outras atividades de servicos prestados principalmente …s empresas nao especificadas anteriormente;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;125.39686142767854;0.0-0.5M
TDCF4Q;AHGORA MULTI;SAAS SERIE T;CANARANA;Comercio varejista de artigos esportivos;VAREJO;MODA;RH - CORE;NAO INFORMADO;105;00 - Mensal;MT;120.20930143566552;0.0-0.5M
TDCF4S;AHGORA MULTI;SAAS SERIE T;SAOPAULO;Servicos de pintura de edificios em geral;CONSTRUCAO E PROJETOS;CONSTRUTORAS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;120.20930143566552;0.0-0.5M
TDCF5A;VELTI PONTO;SAAS SERIE T;VIDEIRA;Fabricacao de outros produtos texteis nao especificados anteriormente;MANUFATURA;TEXTIL & VESTUARIO;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;81.4119017871341;0.0-0.5M
TDCF5J;AHGORA MULTI;SAAS SERIE T;BRASILIA;Portais, provedores de conteudo e outros servicos de informacao na internet;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;DF;217.62949207983777;0.0-0.5M
TDCF5O;AHGORA MULTI;SAAS SERIE T;SAOPAULO;Outras atividades de tratamento de beleza;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;97.2352209199841;0.0-0.5M
TDCF5R;AHGORA IOT;SAAS SERIE T;FLORIANOPOLIS;Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgencias;SAUDE;HOSPITAIS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;346.67109784550274;0.0-0.5M
TDCF5T;AHGORA ACESSO WEB;SAAS SERIE T;SAOPAULO;Condominios prediais;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;83.8081004868483;0.0-0.5M
TDCF60;PLANO PROF GOLD II SIST VELTI;SAAS SERIE T;FEIRADESANTANA;Fabricacao de equipamentos e acessorios para seguranca pessoal e profissional;MANUFATURA;BENS DURAVEIS;RH - CORE;NAO INFORMADO;105;00 - Mensal;BA;67.77458848560231;0.0-0.5M
TDCF66;AHGORA ESTRATEGICO;SAAS SERIE T;BLUMENAU;Portais, provedores de conteudo e outros servicos de informacao na internet;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;45.93554945925917;0.0-0.5M
TDCF6I;AHGORA GERENCIAL;SAAS SERIE T;OSASCO;Reparacao de artigos do mobiliario;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;165.65299958287792;0.0-0.5M
TDCF6J;AHGORA ESTRATEGICO;SAAS SERIE T;CURITIBA;Promocao de vendas;SERVICOS;MIDIA;RH - CORE;NAO INFORMADO;105;00 - Mensal;PR;672.5288978624351;0.0-0.5M
TDCF6K;AHGORA MULTI;SAAS SERIE T;JABOATAODOSGUARARAPES;Fabricacao de maquinas, equipamentos e aparelhos para transporte e elevacao de pessoas, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;RH - CORE;NAO INFORMADO;105;00 - Mensal;PE;84.55638709833809;0.0-0.5M
TDCF6N;AHGORA ANALYTICS;SAAS SERIE T;SAOJOSEDOSPINHAIS;Incorporacao de empreendimentos imobiliarios;CONSTRUCAO E PROJETOS;INCORPORADORAS;RH - CORE;NAO INFORMADO;105;00 - Mensal;PR;274.0326463852172;0.0-0.5M
TDCF6P;AHGORA MULTI;SAAS SERIE T;SAOPAULO;Atividades de contabilidade;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;125.42208457188609;0.0-0.5M
TDCF6Q;AHGORA MULTI;SAAS SERIE T;RIOCLARO;Cartorios;JURIDICO;JURIDICO;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;126.93547322433719;0.0-0.5M
TDCF6S;AHGORA MULTI;SAAS SERIE T;CABOFRIO;Lanchonetes, casas de cha, de sucos e similares;SERVICOS;VIAGENS;RH - CORE;NAO INFORMADO;105;00 - Mensal;RJ;111.53674368564702;0.0-0.5M
TDCF6V;AHGORA ESTRATEGICO;SAAS SERIE T;BELOHORIZONTE;Servicos de organizacao de feiras, congressos, exposicoes e festas;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;MG;145.5753767936934;0.0-0.5M
TDCF74;AHGORA ESTRATEGICO;SAAS SERIE T;PORTOALEGRE;Suporte tecnico, manutencao e outros servicos em tecnologia da informacao;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;RS;63.22181095614528;0.0-0.5M
TDCF77;AHGORA GERENCIAL;SAAS SERIE T;PALHOCA;Ensino fundamental;EDUCACIONAL;BASICO;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;229.68615501103167;0.0-0.5M
TDCF79;AHGORA ESTRATEGICO;SAAS SERIE T;FLORIANOPOLIS;Comercio varejista de moveis;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;RH - CORE;NAO INFORMADO;105;11 - Anual;SC;54.64173806822104;0.0-0.5M
TDCF7E;AHGORA ESTRATEGICO;SAAS SERIE T;SAOPAULO;Servicos combinados de escritorio e apoio administrativo;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;46.7510977886357;0.0-0.5M
TDCF7G;AHGORA ESTRATEGICO;SAAS SERIE T;SAOPAULO;Restaurantes e similares;SERVICOS;VIAGENS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;88.04138485634356;0.0-0.5M
TDCF7K;AHGORA ESTRATEGICO;SAAS SERIE T;EMBUDASARTES;Servicos de lavagem, lubrificacao e polimento de veiculos automotores;VAREJO;CONCESSIONARIA DE VEICULOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;47.66753869484216;0.0-0.5M
TDCF7S;AHGORA ESTRATEGICO;SAAS SERIE T;POUSOALEGRE;Comercio varejista de artigos de optica;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;MG;67.39624132248954;0.0-0.5M
TDCF81;AHGORA ESTRATEGICO;SAAS SERIE T;SAOJOSE;Construcao de rodovias e ferrovias;CONSTRUCAO E PROJETOS;CONSTRUTORAS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;177.54150821935497;0.0-0.5M
TDCF83;AHGORA GERENCIAL;SAAS SERIE T;SAOPAULO;Atividades de cobrancas e informacoes cadastrais;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;149.60687600952832;0.0-0.5M
TDCF86;AHGORA ESTRATEGICO;SAAS SERIE T;SAOPAULO;Atividades de contabilidade;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;79.57901997472105;0.0-0.5M
TDCF87;AHGORA AUTOMATICO;SAAS SERIE T;FLORIANOPOLIS;Comercio varejista de medicamentos veterinarios;VAREJO;DROGARIA;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;57.44991478999144;0.0-0.5M
TDCF89;AHGORA ESTRATEGICO;SAAS SERIE T;JOINVILLE;Atividades de contabilidade;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;74.39986769744392;0.0-0.5M
TDCF8A;AHGORA ESTRATEGICO;SAAS SERIE T;SAOJOSEDOSCAMPOS;Atividades associativas nao especificadas anteriormente;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;2368.0706900655086;0.0-0.5M
TDCF8K;PLANO ESSENCIAL SISTEMA VELTI;SAAS SERIE T;CAMPOGRANDE;Imunizacao e controle de pragas urbanas;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;MS;45.4857367208918;0.0-0.5M
TDCF8L;VELTI PONTO - EXCEDENTE;SAAS SERIE T;VITORIA;Reparacao e manutencao de computadores e de equipamentos perifericos;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;ES;0.420385736791976;0.0-0.5M
TDCF8M;PLAN PROF GOLD III SIST VELTI;SAAS SERIE T;CURITIBA;Ensino de esportes;EDUCACIONAL;EDUCACAO CONTINUADA;RH - CORE;NAO INFORMADO;105;00 - Mensal;PR;47.831489132191;0.0-0.5M
TDCF8V;AHGORA ESTRATEGICO;SAAS SERIE T;RIODEJANEIRO;Corretagem no aluguel de imoveis;CONSTRUCAO E PROJETOS;INCORPORADORAS;RH - CORE;NAO INFORMADO;105;00 - Mensal;RJ;45.93554945925917;0.0-0.5M
TDCF8Y;AHGORA ESTRATEGICO;SAAS SERIE T;NATAL;Restaurantes e similares;SERVICOS;VIAGENS;RH - CORE;NAO INFORMADO;105;00 - Mensal;RN;381.3234941292654;0.0-0.5M
TDCF92;AHGORA ESTRATEGICO;SAAS SERIE T;BRASILIA;Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal;VAREJO;DROGARIA;RH - CORE;NAO INFORMADO;105;00 - Mensal;DF;74.31579055008558;0.0-0.5M
TDCF9D;AHGORA ESTRATEGICO;SAAS SERIE T;SAOPAULO;Comercio atacadista de frutas, verduras, raizes, tuberculos, hortalicas e legumes frescos;LOGISTICA;ATACADISTA E DISTRIBUIDOR;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;123.80780334260535;0.0-0.5M
TDCF9H;AHGORA AUTOMATICO;SAAS SERIE T;LOANDA;Comercio varejista de moveis;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;PR;51.707445625413044;0.0-0.5M
TDCFA0;AHGORA MULTI;SAAS SERIE T;SANTAMARIA;Producao de artefatos estampados de metal;MANUFATURA;BENS DE CAPITAL;RH - CORE;NAO INFORMADO;105;00 - Mensal;RS;117.0984469834049;0.0-0.5M
TDCFA1;AHGORA ESTRATEGICO;SAAS SERIE T;FLORIANOPOLIS;Correspondentes de instituicoes financeiras;SERVICOS;OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;195.6559296177215;0.0-0.5M
TDCFA2;AHGORA MULTI;SAAS SERIE T;BRASILIA;Servicos de remocao de pacientes, exceto os servicos moveis de atendimento a urgencias;SAUDE;HOSPITAIS;RH - CORE;NAO INFORMADO;105;00 - Mensal;DF;149.93477688422578;0.0-0.5M
TDCFA3;AHGORA MULTI;SAAS SERIE T;ITAJAI;Atividades de condicionamento fisico;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;92.3461348010934;0.0-0.5M
TDCFA5;AHGORA ESTRATEGICO;SAAS SERIE T;JACAREI;Fabricacao de equipamentos e acessorios para seguranca pessoal e profissional;MANUFATURA;BENS DURAVEIS;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;02 - Trimestral;SP;357.8911931604809;0.0-0.5M
TDCFA8;AHGORA ESTRATEGICO;SAAS SERIE T;VALPARAISODEGOIAS;Ensino fundamental;EDUCACIONAL;BASICO;RH - CORE;NAO INFORMADO;105;00 - Mensal;GO;138.235441829305;0.0-0.5M
TDCFAL;PLANO ESSENCIAL SISTEMA VELTI;SAAS SERIE T;GUARULHOS;Educacao infantil - creche;EDUCACIONAL;BASICO;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;34.997112587932;0.0-0.5M
TDCFAR;AHGORA ESTRATEGICO;SAAS SERIE T;SAOSEBASTIAO;Comercio varejista de calcados;VAREJO;MODA;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;140.4803016637742;0.0-0.5M
TDCFAX;AHGORA ESTRATEGICO;SAAS SERIE T;CRUZALTA;Atividades de centros de assistencia psicossocial;SAUDE;HOSPITAIS;RH - CORE;NAO INFORMADO;105;00 - Mensal;RS;95.94043285066482;0.0-0.5M
TDCFB0;AHGORA ESTRATEGICO;SAAS SERIE T;NOVAIGUACU;Restaurantes e similares;SERVICOS;VIAGENS;RH - CORE;NAO INFORMADO;105;00 - Mensal;RJ;147.82864434289857;0.0-0.5M
TDCFB2;AHGORA MULTI;SAAS SERIE T;RIODEJANEIRO;Comercio varejista de tintas e materiais para pintura;VAREJO;MATERIAL DE CONSTRUCAO;RH - CORE;NAO INFORMADO;105;00 - Mensal;RJ;242.7265205663187;0.0-0.5M
TDCFB4;AHGORA GERENCIAL;SAAS SERIE T;JABOATAODOSGUARARAPES;Transporte rodoviario de carga, exceto produtos perigosos e mudancas, intermunicipal, interestadual e internacional;LOGISTICA;TRANSPORTADOR;RH - CORE;NAO INFORMADO;105;00 - Mensal;PE;75.79554834359327;0.0-0.5M
TDCFB7;AHGORA GERENCIAL;SAAS SERIE T;TOLEDO;Comercio atacadista de medicamentos e drogas de uso humano;VAREJO;VAREJO;RH - CORE;NAO INFORMADO;105;00 - Mensal;PR;327.30813080886503;0.0-0.5M
TDCFBA;AHGORA ESTRATEGICO;SAAS SERIE T;RIODEJANEIRO;Construcao de edificios;CONSTRUCAO E PROJETOS;CONSTRUTORAS;RH - CORE;NAO INFORMADO;105;00 - Mensal;RJ;133.35476342515094;0.0-0.5M
TDCFBE;PLANO ESSENCIAL SISTEMA VELTI;SAAS SERIE T;SALVADOR;Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgencias;SAUDE;HOSPITAIS;RH - CORE;NAO INFORMADO;105;00 - Mensal;BA;36.3045122293551;0.0-0.5M
TDCFBR;AHGORA MULTI;SAAS SERIE T;ARARAQUARA;Suporte tecnico, manutencao e outros servicos em tecnologia da informacao;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;125.39686142767854;0.0-0.5M
TDCFBW;AHGORA GERENCIAL;SAAS SERIE T;BALNEARIOCAMBORIU;Condominios prediais;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;188.52198366436136;0.0-0.5M
TDCFC3;AHGORA ESTRATEGICO;SAAS SERIE T;CARIACICA;Atividades de associacoes de defesa de direitos sociais;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;ES;1322.058492064981;0.0-0.5M
TDCFCE;PLANO PROF GOLD I SIST VELTI;SAAS SERIE T;SANTOANDRE;Servicos de usinagem, tornearia e solda;SERVICOS;PROVEDOR DE SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;67.6400650498289;0.0-0.5M
TDCFCF;PLAN PROF GOLD III SIST VELTI;SAAS SERIE T;MANAUS;Comercio por atacado de onibus e microonibus novos e usados;VAREJO;CONCESSIONARIA DE VEICULOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;AM;47.6801502669459;0.0-0.5M
TDCFCI;AHGORA ESTRATEGICO;SAAS SERIE T;ESTEIO;Desenvolvimento e licenciamento de programas de computador customizaveis;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;RS;120.20089372092932;0.0-0.5M
TDCFCJ;AHGORA ESTRATEGICO;SAAS SERIE T;CAMPINAS;Comercio atacadista de medicamentos e drogas de uso humano;VAREJO;VAREJO;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;448.6861045928118;0.0-0.5M
TDCFCL;AHGORA ESTRATEGICO;SAAS SERIE T;TERESINA;Transporte rodoviario de carga, exceto produtos perigosos e mudancas, intermunicipal, interestadual e internacional;LOGISTICA;TRANSPORTADOR;RH - CORE;NAO INFORMADO;105;00 - Mensal;PI;295.001486936401;0.0-0.5M
TDCFCM;AHG LICENC REP P EXCED.BILLING;SAAS SERIE T;GUARULHOS;Agencias de publicidade;SERVICOS;MIDIA;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;123.05951673111517;0.0-0.5M
TDCFCW;AHGORA MULTI;SAAS SERIE T;PALHOCA;ATIVIDADES DE MONITORAMENTO DE SISTEMAS DE SEGURANCA ELETRONICO;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;126.93547322433719;0.0-0.5M
TDCFD1;AHGORA ESTRATEGICO;SAAS SERIE T;TRESCOROAS;Atividades de contabilidade;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;RS;183.06537680080163;0.0-0.5M
TDCFD2;AHGORA AUTOMATICO;SAAS SERIE T;SANTOS;Transporte rodoviario de carga, exceto produtos perigosos e mudancas, intermunicipal, interestadual e internacional;LOGISTICA;TRANSPORTADOR;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;50.53456941976348;0.0-0.5M
TDCFD6;PLANO PROF GOLD SISTEMA VELTI;SAAS SERIE T;TELEMACOBORBA;Servicos de manutencao e reparacao mecanica de veiculos automotores;VAREJO;CONCESSIONARIA DE VEICULOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;PR;40.0039067131244;0.0-0.5M
