CD_CLIENTE;DS_PROD_MODA;DS_LIN_REC_MODA;CIDADE;DS_CNAE;DS_SEGMENTO;DS_SUBSEGMENTO;MARCA_TOTVS_MODA;MODAL_COMERC_MODA;PAIS;PERIODICIDADE_MODA;UF;VL_TOTAL_CONTRATO_SOMA;FAIXA_VLR_TOT_SOMA_CONTRATOS;DIAS_CLIENTE;QTD_CONTRATACOES_12M;VLR_CONTRATACOES_12M;CLUSTER_3;CLUSTER_4;CLUSTER_5;CLUSTER_6;resposta_NPS;resposta_unidade;Nota_SupTec_Agilidade;Nota_SupTec_Atendimento;Nota_Comercial;Nota_Custos;Nota_AdmFin_Atendimento;Nota_Software;Nota_Software_Atualizacao
TDCHDF;AHGORA GERENCIAL;SAAS SERIE T;BRASILIA;Restaurantes e similares;SERVICOS;VIAGENS;RH - CORE;NAO INFORMADO;105;00 - Mensal;DF;330,21;0.0-0.5M;353;1,0;330,21;2;0;3;2;;;;;;;;;
TDCHDH;AHGORA MULTI;SAAS SERIE T;SAOPAULO;Treinamento em desenvolvimento profissional e gerencial;EDUCACIONAL;EDUCACAO CONTINUADA;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;76,53;0.0-0.5M;353;1,0;76,53;2;0;3;2;;;;;;;;;
TDCHDN;AHGORA MULTI;SAAS SERIE T;SAOJOSE;Servicos de montagem de moveis de qualquer material;CONSTRUCAO E PROJETOS;PROJETOS & SERVICOS ESPECIAIS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;76,53;0.0-0.5M;350;1,0;76,53;2;0;3;2;;;;;;;;;
TDCHDQ;AHGORA MULTI;SAAS SERIE T;SAOCAETANODOSUL;Manutencao de estacoes e redes de telecomunicacoes;CONSTRUCAO E PROJETOS;CONSTRUTORAS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;120,6;0.0-0.5M;357;1,0;120,6;2;0;3;2;;;;;;;;;
TDCHDS;AHGORA ESTRATEGICO;SAAS SERIE T;SAOJOSE;Correspondentes de instituicoes financeiras;SERVICOS;OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;117,05;0.0-0.5M;353;1,0;117,05;2;0;3;2;;;;;;;;;
TDCHDZ;AHGORA MULTI;SAAS SERIE T;PALHOCA;Instalacao e manutencao eletrica;CONSTRUCAO E PROJETOS;CONSTRUTORAS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;112,89;0.0-0.5M;360;1,0;112,89;2;0;3;2;;;;;;;;;
TDCHE1;AHGORA MULTI;SAAS SERIE T;SAOJOSE;Comercio varejista de moveis;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;76,53;0.0-0.5M;349;1,0;76,53;2;0;3;2;;;;;;;;;
TDCHE3;AHGORA MULTI;SAAS SERIE T;ARARAS;Instalacao de maquinas e equipamentos industriais;CONSTRUCAO E PROJETOS;PROJETOS & SERVICOS ESPECIAIS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;109,62;0.0-0.5M;336;1,0;109,62;2;0;3;2;;;;;;;;;
TDCHE7;AHGORA MULTI;SAAS SERIE T;JOINVILLE;Atividades de condicionamento fisico;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;92,98;0.0-0.5M;370;1,0;92,98;2;0;3;2;;;;;;;;;
TDCHEB;AHGORA MULTI;SAAS SERIE T;CURITIBA;Outras atividades de tratamento de beleza;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;PR;108,64;0.0-0.5M;356;1,0;108,64;2;0;3;2;;;;;;;;;
TDCHEC;AHGORA ANALYTICS;SAAS SERIE T;SAOCARLOS;Servicos de usinagem, tornearia e solda;SERVICOS;PROVEDOR DE SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;216,31;0.0-0.5M;360;1,0;216,31;2;0;3;2;;;;;;;;;
TDCHEI;AHGORA ESTRATEGICO;SAAS SERIE T;SAOJOSE;Servicos combinados de escritorio e apoio administrativo;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;115,78;0.0-0.5M;370;1,0;115,78;2;0;3;2;;;;;;;;;
TDCHES;AHGORA GERENCIAL;SAAS SERIE T;MANDIRITUBA;SERRARIAS COM DESDOBRAMENTO DE MADEIRA EM BRUTO;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;RH - CORE;NAO INFORMADO;105;00 - Mensal;PR;249,97;0.0-0.5M;370;1,0;249,97;2;0;3;2;;;;;;;;;
TDCHEU;AHGORA ESTRATEGICO;SAAS SERIE T;PACODOLUMIAR;Ensino medio;EDUCACIONAL;BASICO;RH - CORE;NAO INFORMADO;105;00 - Mensal;MA;850,81;0.0-0.5M;339;1,0;850,81;2;0;3;2;;;;;;;;;
TDCHEW;PLANO SUPORTE SISTEMA VELTI;SERVIÇOS MENSALIZADOS;PORTOALEGRE;Atividades de assistencia social prestadas em residencias coletivas e particulares nao especificadas anteriormente;SAUDE;SAUDE;RH - CORE;NAO INFORMADO;105;00 - Mensal;RS;2052,29;0.0-0.5M;360;1,0;2052,29;2;0;3;2;;;;;;;;;
TDCHEZ;AHGORA ESTRATEGICO;SAAS SERIE T;SAOPAULO;Servicos de assistencia social sem alojamento;SERVICOS;PROVEDOR SERVICOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;114,95;0.0-0.5M;1408;0,0;0,0;2;0;3;2;;;;;;;;;
TEF004;TEF TURBO CANAIS DIFERENCIADA;SAAS TEF LEGADO;RECIFE;Comercio atacadista de produtos alimenticios em geral;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PE;262,47;0.0-0.5M;2885;0,0;0,0;2;0;3;2;;;;;;;;;
TEF006;TEF EXPRESS HOSP. CORPORATIVO;SAAS TEF LEGADO;VALPARAISODEGOIAS;Comercio varejista de ferragens e ferramentas;VAREJO;MATERIAL DE CONSTRUCAO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;GO;160,07;0.0-0.5M;2467;0,0;0,0;2;0;3;2;;;;;;;;;
TEF040;TEF CANAL CLOUD PDV ADICIONAL;SAAS TECHFIN FAT MANUAL;CARIACICA;Comercio varejista de brinquedos e artigos recreativos;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;ES;271,62;0.0-0.5M;2781;0,0;0,0;2;0;3;2;10,0;10,0;10,0;10,0;10,0;8,0;10,0;10,0;8,0
TEF091;TEF EXPRESS HOSP. CORPORATIVO;SAAS TEF LEGADO;CASTANHAL;Comercio varejista de suvenires, bijuterias e artesanatos;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PA;147,94;0.0-0.5M;2668;0,0;0,0;2;0;3;2;;;;;;;;;
TEF108;TEF TURBO TURBO DUPLO;SAAS TEF LEGADO;ITAJAI;Comercio varejista de materiais de construcao em geral;VAREJO;MATERIAL DE CONSTRUCAO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;112,78;0.0-0.5M;2649;0,0;0,0;2;0;3;2;9,0;9,0;10,0;10,0;9,0;8,0;9,0;10,0;9,0
TEF131;TEF CANAL CLOUD PDV ÚNICO;SAAS TEF;GOVERNADORVALADARES;Comercio varejista de brinquedos e artigos recreativos;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;MG;327,87;0.0-0.5M;2548;0,0;0,0;2;0;3;2;;;;;;;;;
TEF142;TEF EXPRESS HOSP. CORPORATIVO;SAAS TEF;BELEM;Comercio varejista de suvenires, bijuterias e artesanatos;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PA;257,65;0.0-0.5M;2565;0,0;0,0;2;0;3;2;;;;;;;;;
TEF158;TEF TOTAL CORPORATIVO;SAAS TEF;MACEIO;Comercio atacadista de produtos alimenticios em geral;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;AL;166,26;0.0-0.5M;2649;0,0;0,0;2;0;3;2;;;;;;;;;
TEF163;TEF INTEGRADOR CLOUD PRINCIPAL;SAAS TECHFIN FAT MANUAL;RIBEIRAOPRETO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;VAREJO;VAREJO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1682,81;0.0-0.5M;2606;2,0;42,08;2;0;3;2;;;;;;;;;
TEF181;TEF EXPRESS HOSP. CORPORATIVO;SAAS TEF LEGADO;ALTAMIRA;Comercio varejista de suvenires, bijuterias e artesanatos;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PA;118,27;0.0-0.5M;2362;0,0;0,0;2;0;3;2;;;;;;;;;
TEF203;CONCILIADOR DE CARTOES TOTVS;SAAS TEF;CASCAVEL;Comercio varejista de material eletrico;VAREJO;MATERIAL DE CONSTRUCAO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;372,57;0.0-0.5M;2381;0,0;0,0;2;0;3;2;;;;;;;;;
TEF548;PLANO ESSENCIAL SISTEMA VELTI;SAAS SERIE T;GUARAPUAVA;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;VAREJO;VAREJO;DISTRIBUICAO & VAREJO - CORE;NAO INFORMADO;105;00 - Mensal;PR;79,39;0.0-0.5M;2746;0,0;0,0;2;0;3;2;;;;;;;;;
TEFJ34;TEF CANAL CLOUD PDV ÚNICO;SAAS TEF LEGADO;BRASILIA;Comercio varejista de artigos de joalheria;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;DF;212,19;0.0-0.5M;2297;0,0;0,0;2;0;3;2;;;;;;;;;
TEVMBC;SMS TOTVS TEC USER;CDU TOTVS SERIE T;CAMPINAS;Comercio atacadista de outros produtos quimicos e petroquimicos nao especificados anteriormente;LOGISTICA;ATACADISTA E DISTRIBUIDOR;BACKOFFICE - PARCEIRO;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;11057,21;0.0-0.5M;4950;0,0;0,0;2;0;3;2;;;;;;;;;
TEVN70;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;DIADEMA;Fabricacao de maquinas e equipamentos para uso industrial especifico nao especificados anteriormente, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;65041,84;0.0-0.5M;5588;1,0;335,36;2;0;3;2;10,0;9,0;9,0;9,0;9,0;6,0;8,0;8,0;10,0
TEVNDC;CDU CAIXA E BANCOS EMS2;SAAS CDU ALUGUEL;PAULINIA;PESSOA FISICA (SEM CNAE);SERVICOS;PROVEDOR DE SERVICOS;MODALIDADE ALUGUEL (LEGADO);MODALIDADE ALUGUEL (LEGADO);105;00 - Mensal;SP;0,18;0.0-0.5M;6657;0,0;0,0;2;0;3;2;;;;;;;;;
TEVNT2;CLOUD  ADVANCED DATASUL 36M;CDU TOTVS SERIE T;SAOPAULO;Atividades de televisao aberta;SERVICOS;MIDIA;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;73722,4;0.0-0.5M;5936;0,0;0,0;2;0;3;2;;;;;;;;;
TEVNTP;CDU APLIC. E EMPRESTIMOS EMS5;CDU TOTVS SERIE T;SANTAINES;Atividades de televisao aberta;SERVICOS;MIDIA;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;MA;0,17;0.0-0.5M;6469;0,0;0,0;2;0;3;2;9,0;8,0;8,0;9,0;8,0;8,0;8,0;8,0;8,0
TEVNVG;CDU TOTVS SERIE3 MANUFATURA AL;SAAS CDU ALUGUEL;HORTOLANDIA;Fabricacao de outras maquinas e equipamentos de uso geral nao especificados anteriormente, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;MANUFATURA - CORE;MODALIDADE ALUGUEL (LEGADO);105;00 - Mensal;SP;46873,18;0.0-0.5M;5365;0,0;0,0;2;0;3;2;;;;;;;;;
TEVNVS;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;RIODEJANEIRO;Fabricacao de outros produtos texteis nao especificados anteriormente;MANUFATURA;BENS DE CONSUMO;PROGRESS;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;122687,78;0.0-0.5M;5504;3,0;20071,7;2;0;3;2;6,0;6,4;5,6;6,2;6,4;4,6;5,4;5,4;6,2
TEVNZF;4GL DEVELOPMENT SYSTEMUSER-MNT;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de tubos e acessorios de material plastico para uso na construcao;MANUFATURA;METAL-MECANICO & PLASTICO;TOTVS CRM;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;142056,18;0.0-0.5M;5524;8,0;15454,8;2;0;3;2;8,14;8,57;8,43;8,29;8,43;7,43;8,43;7,71;7,57
TEVOHM;CDU CAIXA E BANCOS EMS2;SAAS CDU ALUGUEL;CURITIBA;Fabricacao de letras, letreiros e placas de qualquer material, exceto luminosos;MANUFATURA;BENS DURAVEIS;MODALIDADE ALUGUEL (LEGADO);MODALIDADE ALUGUEL (LEGADO);105;00 - Mensal;PR;0,18;0.0-0.5M;5910;0,0;0,0;2;0;3;2;;;;;;;;;
TEVOMJ;CDU GESTaO DA QUALIDADE;CDU TOTVS SERIE T;JOINVILLE;Desenvolvimento e licenciamento de programas de computador nao-customizaveis;SERVICOS;PROVEDOR SERVICOS;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SC;1,38;0.0-0.5M;6173;0,0;0,0;2;0;3;2;;;;;;;;;
TEVOMQ;CDU TOTVS SERIE3 MANUFATURA AL;CDU TOTVS SERIE T;JUNDIAI;Fabricacao de outros produtos alimenticios nao especificados anteriormente;MANUFATURA;BENS DE CONSUMO;PROGRESS;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;88804,19;0.0-0.5M;5495;3,0;23209,83;2;0;3;2;8,8;8,8;8,4;8,8;9,0;8,4;9,0;8,8;8,4
TEVOTB;CDU TOTVS SERIE3 MANUFATURA AL;CDU TOTVS SERIE T;POA;Fabricacao de colchoes;MANUFATURA;BENS DURAVEIS;MANUFATURA - CORE;MODALIDADE ALUGUEL (LEGADO);105;00 - Mensal;SP;1369,8;0.0-0.5M;5711;0,0;0,0;2;0;3;2;9,0;9,25;8,5;8,5;8,75;8,0;8,5;8,75;9,0
TEVOVX;CLIENT NETWORKING MNT;CDU TOTVS SERIE T;MOJIMIRIM;Fabricacao de outras maquinas e equipamentos de uso geral nao especificados anteriormente, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;843243,43;0.5-1.0M;5593;5,0;129950,84;2;3;1;3;9,5;10,0;8,25;8,75;9,25;7,75;9,5;9,5;9,0
TEVP48;PROGRESS USER 11 CDU;CDU TOTVS SERIE T;SAOPAULO;Comercio atacadista de maquinas e equipamentos para uso industrial, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;PROGRESS;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;31658,77;0.0-0.5M;4867;0,0;0,0;2;0;3;2;8,25;8,25;8,5;8,25;8,75;8,5;7,75;8,25;8,0
TEVP67;CDU FULL TOTVS TRAD;SMS TOTVS SERIE T;NOVAPRATA;Testes e analises tecnicas;CONSTRUCAO E PROJETOS;PROJETOS & SERVICOS ESPECIAIS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;RS;3791,94;0.0-0.5M;5607;0,0;0,0;2;0;3;2;;;;;;;;;
TEVRVQ;ADESAO PLAT FLUIG COMPLEMENTAR;SMS TOTVS SERIE T;SAOPAULO;Construcao de rodovias e ferrovias;CONSTRUCAO E PROJETOS;CONSTRUTORAS;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;142169,4;0.0-0.5M;5868;0,0;0,0;2;0;3;2;8,0;8,5;8,0;8,0;8,0;8,0;8,0;8,0;8,0
TEVRZU;TOP4 USER;CDU TOTVS SERIE T;SAOPAULO;Servicos combinados de escritorio e apoio administrativo;SERVICOS;PROVEDOR SERVICOS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;49653,68;0.0-0.5M;10160;0,0;0,0;2;0;3;2;6,5;7,5;6,0;6,5;6,5;6,5;6,0;6,5;6,5
TEVS97;CDU TOTVS SERIE3 MANUFATURA TR;CDU TOTVS SERIE 3;POCOSDECALDAS;Fabricacao de equipamentos de informatica;MANUFATURA;BENS DURAVEIS;PROGRESS;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;26277,13;0.0-0.5M;5475;2,0;9483,92;2;0;3;2;9,86;9,29;9,86;9,86;9,71;9,0;9,86;9,71;9,86
TEVSA1;PROG OPED STUDIO ND USR MNT;CDU TOTVS SERIE T;SAOBERNARDODOCAMPO;Producao de relaminados, trefilados e perfilados de aco, exceto arames;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;PROGRESS;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;89435,88;0.0-0.5M;5580;5,0;15159,26;2;0;3;2;9,4;10,0;8,4;9,2;9,6;7,4;9,6;8,6;9,0
TEVSAQ;PROGRESS USER 11 CDU;CDU TOTVS SERIE T;SAOJOSEDOSPINHAIS;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;39478,29;0.0-0.5M;5690;0,0;0,0;2;0;3;2;7,0;8,5;7,0;7,0;7,0;7,0;7,0;7,0;7,0
TEVSAU;PROG OPED STUDIO ND USR MNT;SOFTWARE COMPLEMENTAR;GUARULHOS;Fabricacao de artefatos de borracha nao especificados anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;SOFTWARE COMPLEMENTAR;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;43856,04;0.0-0.5M;5623;1,0;2132,8;2;0;3;2;9,0;6,6;8,4;7,6;7,8;7,2;9,0;7,2;7,0
TEVVGL;ASSINATURA MENSAL INTERNET CMN;SAAS CMNET HOTAL;SAOJOSE;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;2903,66;0.0-0.5M;5706;1,0;161,85;2;0;3;2;;;;;;;;;
TEVVH1;CDU FULL TOTVS ALUG;SAAS CDU ALUGUEL;JABOATAODOSGUARARAPES;Fabricacao de artefatos de material plastico para uso pessoal e domestico;MANUFATURA;METAL-MECANICO & PLASTICO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PE;1885,49;0.0-0.5M;5774;0,0;0,0;2;0;3;2;;;;;;;;;
TEVVHG;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOBERNARDODOCAMPO;Outras atividades de servicos prestados principalmente …s empresas nao especificadas anteriormente;SERVICOS;PROVEDOR SERVICOS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;291644,56;0.0-0.5M;5768;5,0;81066,73;2;0;1;3;;;;;;;;;
TEVVHL;TOTVS TEC USER;CDU TOTVS SERIE T;BELOHORIZONTE;Extracao de minerio de ferro;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;56958,33;0.0-0.5M;3636;0,0;0,0;2;0;3;2;7,0;8,0;7,0;7,0;7,0;7,0;7,0;5,0;7,0
TEVVHT;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;COTIA;Fabricacao de cosmeticos, produtos de perfumaria e de higiene pessoal;MANUFATURA;QUIMICA & RECICLAGEM;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;63923,02;0.0-0.5M;5498;1,0;0,0;2;0;3;2;9,0;8,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0
TEVVJW;PROG OPED STUDIO ND USR MNT;CDU TOTVS SERIE T;PARACAMBI;Fabricacao de outros produtos de metal nao especificados anteriormente;MANUFATURA;BENS DE CAPITAL;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;293547,97;0.0-0.5M;4665;1,0;6305,79;2;0;1;3;9,0;9,0;10,0;9,0;9,0;9,0;9,0;9,0;9,0
TEVVKG;ADESAO FLUIG P;CDU TOTVS SERIE T;CAMPINAS;Holdings de instituicoes nao-financeiras;SERVICOS;OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;678,09;0.0-0.5M;3968;2,0;0,16;2;0;3;2;;;;;;;;;
TEVVKP;AR SLA PREMIUM;SMS PRIME;ARACAJU;Comercio varejista de lubrificantes;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;PRIME;MODALIDADE SERVICOS RECORRENTES;105;00 - Mensal;SE;0,02;0.0-0.5M;5558;0,0;0,0;2;0;3;2;;;;;;;;;
TEVVLM;CDU SISJURI PLUS;CDU TOTVS SERIE T;SAOPAULO;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;SOFTWARE COMPLEMENTAR;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;107618,53;0.0-0.5M;5641;1,0;0,0;2;0;3;2;8,67;8,67;8,33;8,33;8,83;8,67;9,17;8,5;8,67
TEVVM1;ADESAO TOTVS P;CONSULTORIA TRADICIONAL;SAOPAULO;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;SERVICOS DE IMPLANTACAO;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;6211,1;0.0-0.5M;5466;1,0;1325,46;2;0;3;2;8,83;9,33;8,83;9,0;9,17;8,83;9,17;8,83;8,33
TEVVM3;CDU SISJURI PLUS;CDU TOTVS SERIE T;SAOPAULO;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;JURIDICO - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;150120,15;0.0-0.5M;5559;1,0;0,0;2;0;3;2;9,75;9,5;8,25;9,0;9,75;7,75;8,75;9,25;9,5
TEVVM6;CDU SISJURI PLUS;CDU TOTVS SERIE T;SAOPAULO;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;JURIDICO - PARCEIRO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;39554,02;0.0-0.5M;4591;1,0;0,0;2;0;3;2;9,0;8,67;8,33;8,33;9,0;7,67;9,0;9,0;8,33
TEVVM7;ADESAO TOTVS P;SOFTWARE COMPLEMENTAR;SAOPAULO;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;SOFTWARE COMPLEMENTAR;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;5984,57;0.0-0.5M;5446;0,0;0,0;2;0;3;2;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0
TEVVM8;CDU SISJURI PLUS;CDU WORKSITE;SAOPAULO;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;SOFTWARE COMPLEMENTAR;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;45015,37;0.0-0.5M;5602;1,0;0,0;2;0;3;2;7,83;8,17;7,5;7,83;7,67;7,67;7,83;7,67;7,67
TEVVMH;CDU SISJURI PLUS;CONSULTORIA TRADICIONAL;SAOPAULO;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;JURIDICO - PARCEIRO;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;7403,48;0.0-0.5M;5466;0,0;0,0;2;0;3;2;7,67;6,33;7,0;7,0;7,33;7,0;7,67;7,0;7,0
TEVVMX;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SAOPAULO;Servicos de assistencia social sem alojamento;SERVICOS;PROVEDOR SERVICOS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;526535,22;0.5-1.0M;4311;4,0;66392,35;2;0;1;3;;;;;;;;;
TEVVN8;CDU SISJURI PLUS;CDU TOTVS SERIE T;PORTOALEGRE;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;JURIDICO - PARCEIRO;MODALIDADE CORPORATIVO;105;00 - Mensal;RS;45376,28;0.0-0.5M;5504;1,0;0,0;2;0;3;2;7,83;8,83;7,5;7,83;6,83;6,67;8,0;7,83;7,33
TEVVNK;CDU SISJURI PRAZO DETERMINADO;CONSULTORIA TRADICIONAL;SAOPAULO;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;SERVICOS DE IMPLANTACAO;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;4969,57;0.0-0.5M;5466;0,0;0,0;2;0;3;2;9,0;9,0;8,75;9,0;8,75;8,75;8,75;9,0;9,0
TEVVNW;CDU SISJURI PLUS;CONSULTORIA TRADICIONAL;SAOPAULO;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;JURIDICO - PARCEIRO;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;44158,6;0.0-0.5M;5466;2,0;3464,32;2;0;3;2;8,33;7,83;7,67;7,67;7,0;7,5;8,33;8,33;8,33
TEVVOE;CDU SISJURI PLUS;CONSULTORIA TRADICIONAL;SAOPAULO;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;SOFTWARE COMPLEMENTAR;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;143084,66;0.0-0.5M;5466;2,0;6345,02;2;0;3;2;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0
TEVVOI;REN.FILESITE;CDU WORKSITE;SALVADOR;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;11 - Anual;BA;2389,21;0.0-0.5M;4605;0,0;0,0;2;0;3;2;9,33;9,0;9,33;9,33;9,67;9,0;9,33;9,33;9,0
TEVVOR;CDU FILESITE, EMM FOR OUTLOOK;CONSULTORIA TRADICIONAL;CURITIBA;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;SERVICOS DE IMPLANTACAO;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;PR;5551,7;0.0-0.5M;5466;0,0;0,0;2;0;3;2;9,25;10,0;9,25;9,25;9,25;9,25;9,25;9,0;9,25
